"geo","TIME_PERIOD","age_leaving_home","edu_ED0-2","edu_ED3_4","edu_ED5-8","neet_rate","median_income","at_risk_pov_rate","housing_cost_overburden","gdp_per_capita","unemp_EU27_2020_FOR","unemp_NAT","unemp_NEU27_2020_FOR"
"AT",2004,25.2,34.6,56.6,8.8,10.3,16326,13,36.7,27399.5,9.8,8,21.1
"AT",2005,25.4,34.9,56.9,8.2,10.1,17194,12.6,27.4,28495.1,12.6,7.9,18.7
"AT",2006,25.4,36.2,56.7,7.1,9.6,17420,12.6,29.1,29734.7,8.4,7.2,17.3
"AT",2007,25.4,37.4,55.8,6.9,9.4,17810,12,31.4,30945.9,9.4,6.8,15.5
"AT",2008,25.5,36.5,56.4,7,8.9,18932,15.2,38.1,31853.9,9.4,6.1,13.6
"AT",2009,25.3,35.9,55.9,8.1,9.6,19472,14.5,41.3,30722.4,10.8,8.1,16.9
"AT",2010,25.5,36,55.8,8.2,9.1,19516,14.7,36.6,31605.6,11.2,7.2,14.8
"AT",2011,25.4,35.4,56.3,8.3,8.5,20425,14.5,36.9,32928.8,10.1,6.6,14.2
"AT",2012,25.4,34.8,56.2,9,8.2,20602,14.4,37,34099.8,9.8,7.3,14.7
"AT",2013,25.4,33.8,55.7,10.5,8.6,20904,14.4,39.1,34310.4,11.8,7.7,15.4
"AT",2014,25.4,29.3,47.6,23.1,9.3,21662,14.1,36.7,34668.5,9,8.1,16.1
"AT",2015,25.5,28.6,46.8,24.6,8.7,21981,13.9,34.8,35681.9,10.9,7.7,15.6
"AT",2016,25.3,28.9,45.8,25.3,8.9,23071,14.1,38.8,36385.1,9.3,8.1,18.8
"AT",2017,25.2,29.6,45.2,25.3,8.4,23361,14.4,40.3,37012.2,9.7,6.8,18
"AT",2018,25.6,29.3,45.1,25.7,8.4,23204,14.3,36.5,38419.4,8.1,6.4,15.8
"AT",2019,25.4,29.1,44.7,26.2,8.3,23687,13.3,40.8,39263.8,8.5,5.9,13
"AT",2020,25.5,29.6,44.8,25.5,9.5,23334,13.9,37.1,37385.6,12.6,7.1,17.1
"AT",2021,25.3,29.8,43.9,26.3,9.4,24450,14.7,31.1,40185.6,10.1,8,15
"AT",2022,25.3,30.3,43.6,26.2,9.1,25119,14.8,38.8,44569.5,9.8,6.6,13.3
"AT",2023,25.3,30.4,42.6,27,9.4,28690,14.9,32.9,46391.9,9.9,6.7,18
"AT",2024,25.3,30.3,42.1,27.6,9.2,29758,14.3,35.5,47527.9,9.8,6.9,15.9
"AT",2025,25.2,31.5,41.9,26.6,10.3,32385,15.9,32.1,49029.2,12.5,7.7,18.2
"BA",2021,29.6,26.4,61.1,12.5,25.1,NA,NA,NA,10961.5,33.7,30.6,24.4
"BA",2022,29.5,28.6,60.5,10.9,23.5,NA,NA,NA,12473.7,NA,NA,NA
"BA",2023,29.2,30,58.6,11.4,22.2,NA,NA,NA,13590.9,NA,NA,NA
"BA",2024,29.1,30.5,57,12.5,20.1,NA,NA,NA,14628.1,NA,NA,NA
"BA",2025,29.5,29.9,57.8,12.3,20,NA,NA,NA,NA,NA,NA,NA
